goodsNo,goodsName,displayGenderText,normalPrice,price,couponPrice,saleRate,couponSaleRate,hasOptionPrice,brand,reviewCount,reviewScore,isYoutubeCollab,likeType,relationId,count,liked
5392241,TEA-CORE LEATHER SPORTS JACKET_VINTAGE BLACK,남성,438000,438000,,0,,False,outstanding,5,92,0,GOODS,5392241,713,False
5283169,50S WESTERN RIDER SELVEDGE JACKET_BLACK,남성,149000,134100,,10,,False,outstanding,42,96,0,GOODS,5283169,1479,False
1623333,V.S.C HOOD SWEAT(MARYS)_NAVY,공용,89000,80100,,10,,False,outstanding,3726,96,0,GOODS,1623333,19752,False
5283258,SELVEDGE DENIM 1ST JACKET_BLACK,남성,159000,143100,,10,,False,outstanding,24,100,0,GOODS,5283258,576,False
5283245,SELVEDGE DENIM 1ST JACKET_L.BLUE,남성,169000,152100,,10,,False,outstanding,54,100,0,GOODS,5283245,856,False
4423419,AUTHENTIC COMFORT HOOD ZIP SWEAT_3%MELANGE GRAY,남성,94000,84600,,10,,False,outstanding,124,96,0,GOODS,4423419,1886,False
5283190,W.W. II SELVEDGE STRAIGHT PANTS_MEDIUM BLUE,남성,138000,124200,,10,,False,outstanding,38,96,0,GOODS,5283190,845,False
4261735,BACK SATIN FATIGUE PANTS (ORIGINAL FIT)_WASHED OLIVE,남성,104000,93600,,10,,False,outstanding,158,98,0,GOODS,4261735,2104,False
4261900,HENLEY NECK LONG SLEEVE TEE_VINTAGE CHARCOAL,남성,52000,46800,,10,,False,outstanding,428,98,0,GOODS,4261900,4062,False
4261377,TAPERED LOOSE FIT DENIM PANTS_L.BLUE,남성,108000,97200,,10,,False,outstanding,123,98,0,GOODS,4261377,1771,False
4721695,[아웃스탠딩×패션플래닛] MIGHTY TIGER LOGO SWEAT_3%MELANGE GRAY,공용,84000,75600,,10,,False,outstanding,186,98,0,GOODS,4721695,1938,False
4262829,CORDUROY DRIZZLER JACKET_BROWN,남성,139000,125100,,10,,False,outstanding,54,96,0,GOODS,4262829,1688,False
5283165,50S RIDERS SELVEDGE ZIP PANTS_BLACK,남성,128000,115200,,10,,False,outstanding,38,96,0,GOODS,5283165,736,False
5469574,N3B FLIGHT PARKA(WOOL INSULATION)_SAGE GREEN,남성,598000,538200,,10,,False,outstanding,0,0,0,GOODS,5469574,472,False
5392231,1ST TYPE M-65 FIELD JACKET_OLIVE,남성,214000,192600,,10,,False,outstanding,3,94,0,GOODS,5392231,537,False
5306431,USN UTILITY CHAMBRAY SHIRT_L.BLUE,남성,89000,80100,,10,,False,outstanding,32,96,0,GOODS,5306431,901,False
4262827,CORDUROY DRIZZLER JACKET_BLACK,남성,139000,125100,,10,,False,outstanding,42,98,0,GOODS,4262827,1020,False
5353687,BRUSHED WOOL ROUND NECK CARDIGAN_GRAY,남성,108000,97200,,10,,False,outstanding,1,100,0,GOODS,5353687,1052,False
5312365,BACK SATIN FATIGUE PANTS (STRAIGHT FIT)_OLIVE GREEN,남성,104000,93600,,10,,False,outstanding,18,98,0,GOODS,5312365,484,False
4423414,AUTHENTIC COMFORT HOOD ZIP SWEAT_BLACK,남성,94000,84600,,10,,False,outstanding,63,98,0,GOODS,4423414,1108,False
5441522,M-65 FISHTAIL PARKA_BLACK,남성,268000,241200,,10,,False,outstanding,2,100,0,GOODS,5441522,380,False
2060994,REVERSE HEAVY HOOD SWEAT_3%MELANGE GRAY,공용,98000,98000,,0,,False,outstanding,4836,98,0,GOODS,2060994,14121,False
2060993,REVERSE HEAVY SWEAT_3%MELANGE GRAY,공용,89000,89000,,0,,False,outstanding,1243,98,0,GOODS,2060993,4690,False
4262830,USN DECK HOOK JACKET_NAVY,남성,248000,223200,,10,,False,outstanding,117,98,0,GOODS,4262830,3081,False
5312858,CORDUROY 2ND JACKET_BROWN,남성,119000,107100,,10,,False,outstanding,10,96,0,GOODS,5312858,1002,False
5312899,HIGH DENSITY COTTON CLASSIC 3BUTTON JACKET_BLACK,남성,134000,120600,,10,,False,outstanding,9,98,0,GOODS,5312899,368,False
4423378,AUTHENTIC COMFORT SWEAT_3%MELANGE GRAY,남성,74000,66600,,10,,False,outstanding,262,98,0,GOODS,4423378,2227,False
3459378,VINTAGE WASHING LONG SLEEVE TEE_VINTAGE CHARCOAL,공용,48000,43200,,10,,False,outstanding,1069,98,0,GOODS,3459378,4106,False
5312819,VINTAGE OXFORD BD SHIRT_OFF WHITE,남성,89000,80100,,10,,False,outstanding,4,100,0,GOODS,5312819,409,False
5316168,HIGH DENSITY COTTON CLASSIC 3BUTTON JACKET_NAVY,남성,134000,120600,,10,,False,outstanding,9,100,0,GOODS,5316168,483,False
5312602,MOT SERIES LONG SLEEVE(TAIL GUNNER)_PIGMENT CHARCOAL,남성,74000,66600,,10,,False,outstanding,21,98,0,GOODS,5312602,559,False
3887394,MIL SERIES LONG SLEEVE(VIET NAM TIGER)_PIGMENT KHAKI,공용,74000,66600,,10,,False,outstanding,271,100,0,GOODS,3887394,2051,False
5312798,VINTAGE CHECK BD SHIRT_BLUE CHECK,남성,108000,97200,,10,,False,outstanding,3,100,0,GOODS,5312798,535,False
5312507,MIL SERIES LONG SLEEVE(MID WAY)_BLACK,남성,65000,58500,,10,,False,outstanding,22,96,0,GOODS,5312507,433,False
5296571,HENLEY NECK LONG SLEEVE TEE_BLACK,남성,52000,46800,,10,,False,outstanding,26,96,0,GOODS,5296571,372,False
3792762,MIL SERIES LONG SLEEVE(74TH FIGHTER SQ)_PIGMENT CHARCOAL,공용,74000,66600,,10,,False,outstanding,166,100,0,GOODS,3792762,2593,False
3060019,OFFICER CHINO PANTS_KHAKI,공용,89000,80100,,10,,False,outstanding,693,96,0,GOODS,3060019,3524,False
4262828,CORDUROY DRIZZLER JACKET_OLIVE,남성,139000,125100,,10,,False,outstanding,26,98,0,GOODS,4262828,991,False
5283208,40S SELVEDGE STRAIGHT PANTS_L.BLUE,남성,138000,124200,,10,,False,outstanding,82,98,0,GOODS,5283208,1375,False
1547899,V.S.C HOOD SWEAT(MARYS)_3%MELANGE GRAY,공용,89000,80100,,10,,False,outstanding,4926,96,0,GOODS,1547899,22361,False
3792520,BACK SATIN FATIGUE PANTS (ORIGINAL FIT)_OLIVE GREEN,공용,104000,93600,,10,,False,outstanding,283,98,0,GOODS,3792520,2382,False
5353688,BRUSHED WOOL ROUND NECK CARDIGAN_OLIVE,남성,108000,97200,,10,,False,outstanding,1,100,0,GOODS,5353688,665,False
5312851,CORDUROY 2ND JACKET_BLACK,남성,119000,107100,,10,,False,outstanding,4,100,0,GOODS,5312851,552,False
5353691,2ND POPLIN JUNGLE FATIGUE JACKET_D.NAVY,남성,124000,111600,,10,,False,outstanding,4,100,0,GOODS,5353691,252,False
5312506,MIL SERIES LONG SLEEVE(MID WAY)_OFF WHITE,남성,65000,58500,,10,,False,outstanding,10,100,0,GOODS,5312506,557,False
5283194,W.W. II SELVEDGE DENIM 1ST JACKET_MEDIUM BLUE,남성,169000,152100,,10,,False,outstanding,20,98,0,GOODS,5283194,370,False
5370455,P-56 BACK SATIN JACKET_OLIVE GREEN,남성,124000,111600,,10,,False,outstanding,7,100,0,GOODS,5370455,303,False
3773703,RAGLAN CREW NECK KNIT_BLACK,공용,79000,71100,,10,,False,outstanding,572,98,0,GOODS,3773703,3705,False
1685348,TORAY KARAKORAM EUROPEAN GOOSE DOWN PARKA_BLACK,남성,498000,448200,,10,,False,outstanding,837,96,0,GOODS,1685348,5029,False
5312350,41 TYPE US ARMY CHINO PANTS_KHAKI,남성,89000,80100,,10,,False,outstanding,8,88,0,GOODS,5312350,319,False
5469512,30S WOOL SPORTS JACKET_BLACK,남성,314000,282600,,10,,False,outstanding,0,0,0,GOODS,5469512,242,False
5296613,AUTHENTIC COMFORT HOOD ZIP SWEAT_HEATHER GRAY,남성,94000,84600,,10,,False,outstanding,3,100,0,GOODS,5296613,341,False
2349446,MIL SWEAT(US ARMY)_3%MELANGE GRAY,공용,79000,71100,,10,,False,outstanding,1632,98,0,GOODS,2349446,4742,False
4736223,M-65 RIPSTOP CARGO PANTS_WOODLAND CAMO,남성,104000,93600,,10,,False,outstanding,55,96,0,GOODS,4736223,916,False
5052197,[2PACK] BASIC CREW NECK T-SHIRT_OFF WHITE/BLACK,공용,68000,47600,,30,,False,outstanding,125,96,0,GOODS,5052197,797,False
3601089,POLAR GOOSE DOWN PARKA_BLACK,남성,348000,313200,,10,,False,outstanding,698,98,0,GOODS,3601089,3575,False
5353278,THIN STRIPE LONG SLEEVE TEE_NAVY/IVORY,남성,52000,46800,,10,,False,outstanding,7,100,0,GOODS,5353278,493,False
5369863,MOT SERIES SWEAT(CUSTOM MADE CARS)_1%OATMEAL,남성,89000,80100,,10,,False,outstanding,1,100,0,GOODS,5369863,254,False
5312874,HIGH DENSITY COTTON DOUBLE PLEATED PANTS_BLACK,남성,94000,84600,,10,,False,outstanding,6,100,0,GOODS,5312874,229,False
4261908,STRIPE CREW NECK LONG SLEEVE TEE_IVORY/NAVY,남성,62000,55800,,10,,False,outstanding,115,96,0,GOODS,4261908,1697,False
2089169,REVERSE HEAVY HOOD SWEAT_NAVY,공용,98000,98000,,0,,False,outstanding,2059,98,0,GOODS,2089169,6026,False
2263704,REVERSE HEAVY SWEAT_BLACK,공용,89000,89000,,0,,False,outstanding,919,98,0,GOODS,2263704,2260,False
5296590,AUTHENTIC COMFORT SWEAT_VINTAGE CHARCOAL,남성,84000,75600,,10,,False,outstanding,4,100,0,GOODS,5296590,298,False
5469524,USN N-1 DECK JACKET_KHAKI,남성,289000,260100,,10,,False,outstanding,1,100,0,GOODS,5469524,281,False
1667891,V.S.C HOOD SWEAT(MARYS)_BLACK,공용,89000,80100,,10,,False,outstanding,1084,98,0,GOODS,1667891,5685,False
3060021,OFFICER CHINO PANTS_L.BEIGE,공용,89000,80100,,10,,False,outstanding,345,98,0,GOODS,3060021,1650,False
4262818,HEAVY CANVAS WASHING WORK JACKET_BEIGE,남성,179000,161100,,10,,False,outstanding,66,98,0,GOODS,4262818,3201,False
4262928,TORAY KARAKORAM EUROPEAN GOOSE DOWN PARKA_KHAKI BEIGE,남성,498000,448200,,10,,False,outstanding,95,96,0,GOODS,4262928,1306,False
3459852,HIKING BELTED PANTS_BLACK,공용,98000,88200,,10,,False,outstanding,336,98,0,GOODS,3459852,1841,False
3050518,MIL SERIES LONG SLEEVE(74TH FIGHTER SQ)_PIGMENT PINK,공용,74000,66600,,10,,False,outstanding,1448,98,0,GOODS,3050518,3719,False
5370214,V.S.C SWEAT(PITCH IN HIT)_1%MELANGE GRAY,남성,79000,71100,,10,,False,outstanding,3,100,0,GOODS,5370214,251,False
3051241,WIDE SWEAT PANTS_BLACK,공용,83000,83000,,0,,False,outstanding,210,98,0,GOODS,3051241,908,False
4262936,TORAY LEVEL7 DOWN PARKA_BLACK,남성,324000,291600,,10,,False,outstanding,69,98,0,GOODS,4262936,1644,False
5312876,HIGH DENSITY COTTON DOUBLE PLEATED PANTS_BEIGE,남성,94000,84600,,10,,False,outstanding,4,100,0,GOODS,5312876,324,False
5353187,CANVAS CARPENTER DOUBLE KNEE PANTS_CHARCOAL,남성,108000,97200,,10,,False,outstanding,4,100,0,GOODS,5353187,268,False
5312844,40S CORDUROY STRAIGHT PANTS_BROWN,남성,98000,88200,,10,,False,outstanding,8,92,0,GOODS,5312844,304,False
3459868,V.S.C SWEAT(VERMONT)_WINE,공용,79000,71100,,10,,False,outstanding,910,98,0,GOODS,3459868,3667,False
5408012,VELVET SOUVENIR JACKET_BLACK,남성,198000,178200,,10,,False,outstanding,1,100,0,GOODS,5408012,339,False
3807591,V.S.C SWEAT(HOLIDAY)_3%MELANGE GRAY,공용,79000,71100,,10,,False,outstanding,274,96,0,GOODS,3807591,2468,False
4261902,HENLEY NECK LONG SLEEVE TEE_NATURAL,남성,52000,46800,,10,,False,outstanding,136,94,0,GOODS,4261902,917,False
4262820,HEAVY CANVAS WASHING WORK JACKET_CHARCOAL,남성,179000,161100,,10,,False,outstanding,58,96,0,GOODS,4262820,2067,False
4423364,AUTHENTIC COMFORT SWEAT_BLACK,남성,74000,66600,,10,,False,outstanding,115,98,0,GOODS,4423364,933,False
4262841,PRIMALOFT LEVEL 7 SHORT PARKA_SAGE GREEN,남성,258000,232200,,10,,False,outstanding,164,98,0,GOODS,4262841,2677,False
4721708,[아웃스탠딩×패션플래닛] MIGHTY TIGER LOGO HOOD SWEAT_BLACK,공용,94000,84600,,10,,False,outstanding,39,98,0,GOODS,4721708,583,False
2089168,REVERSE HEAVY SWEAT_NAVY,공용,89000,89000,,0,,False,outstanding,805,96,0,GOODS,2089168,2466,False
4261901,HENLEY NECK LONG SLEEVE TEE_OFF WHITE,남성,52000,46800,,10,,False,outstanding,195,98,0,GOODS,4261901,1044,False
5370219,V.S.C SWEAT(PITCH IN HIT)_BROWN,남성,79000,71100,,10,,False,outstanding,5,88,0,GOODS,5370219,249,False
5370407,THERMAL LONG SLEEVE TEE_3%MELANGE GRAY,남성,74000,66600,,10,,False,outstanding,9,98,0,GOODS,5370407,179,False
4721701,[아웃스탠딩×패션플래닛] MIGHTY TIGER LOGO SWEAT_BLACK,공용,84000,75600,,10,,False,outstanding,121,98,0,GOODS,4721701,1010,False
4641449,OSTD STITCH CRAFTED BELT_BROWN,남성,58000,52200,,10,,False,outstanding,43,98,0,GOODS,4641449,544,False
2263758,REVERSE HEAVY HOOD SWEAT_BLACK,공용,98000,98000,,0,,False,outstanding,1649,98,0,GOODS,2263758,5003,False
5441657,MIL SERIES HOOD SWEAT(FLYING SCHOOL)_3%MELANGE GRAY,남성,95000,85500,,10,,False,outstanding,0,0,0,GOODS,5441657,211,False
5353684,BRUSHED WOOL ROUND NECK CARDIGAN_BROWN,남성,108000,97200,,10,,False,outstanding,2,100,0,GOODS,5353684,305,False
4721705,[아웃스탠딩×패션플래닛] MIGHTY TIGER LOGO HOOD SWEAT_NAVY,공용,94000,84600,,10,,False,outstanding,50,100,0,GOODS,4721705,521,False
4423369,AUTHENTIC COMFORT SWEAT_NAVY,남성,74000,66600,,10,,False,outstanding,84,98,0,GOODS,4423369,876,False
2691620,LAMBSWOOL FISHERMAN CARDIGAN_BRICK,공용,108000,97200,,10,,False,outstanding,576,96,0,GOODS,2691620,2952,False
5353664,RAGLAN CREW NECK KNIT_OLIVE,남성,79000,71100,,10,,False,outstanding,6,100,0,GOODS,5353664,374,False
4755261,MULTI STRIPE CREW NECK LONG SLEEVE TEE_NAVY/IVORY,공용,58000,52200,,10,,False,outstanding,59,96,0,GOODS,4755261,672,False
2310838,REVERSE HEAVY SWEAT_1%OATMEAL,공용,89000,89000,,0,,False,outstanding,440,98,0,GOODS,2310838,2262,False
4261906,STRIPE CREW NECK LONG SLEEVE TEE_OLIVE/NAVY,남성,62000,55800,,10,,False,outstanding,132,96,0,GOODS,4261906,1552,False
3060027,OFFICER CHINO PANTS_BLACK,공용,89000,80100,,10,,False,outstanding,161,96,0,GOODS,3060027,963,False
5312895,HIGH DENSITY COTTON DOUBLE PLEATED PANTS_NAVY,남성,94000,84600,,10,,False,outstanding,6,90,0,GOODS,5312895,257,False
1564072,REVERSE HEAVY SWEAT PANTS_3%MELANGE GRAY,공용,83000,83000,,0,,False,outstanding,3210,96,0,GOODS,1564072,5287,False
5415960,USN DECK VEST_KHAKI,남성,138000,124200,,10,,False,outstanding,0,0,0,GOODS,5415960,206,False
5469519,USN N-1 DECK JACKET_NAVY,남성,289000,260100,,10,,False,outstanding,1,100,0,GOODS,5469519,382,False
4261741,LATE TYPE WIDE OFFICER CHINO PANTS_KHAKI,남성,89000,80100,,10,,False,outstanding,72,98,0,GOODS,4261741,1242,False
5353655,PURE WOOL WHOLEGARMENT KNIT_MELANGE GRAY,남성,118000,106200,,10,,False,outstanding,1,100,0,GOODS,5353655,221,False
1715357,TORAY KARAKORAM EUROPEAN GOOSE DOWN PARKA_OLIVE,남성,498000,448200,,10,,False,outstanding,983,96,0,GOODS,1715357,4852,False
1354131,V.S.C SWEAT(NAVY)_NAVY,공용,79000,71100,,10,,False,outstanding,2287,98,0,GOODS,1354131,7814,False
5312869,CORDUROY 2ND JACKET_D.PINK,남성,119000,107100,,10,,False,outstanding,4,100,0,GOODS,5312869,222,False
3051243,WIDE SWEAT PANTS_3%MELANGE GRAY,공용,83000,83000,,0,,False,outstanding,204,96,0,GOODS,3051243,757,False
5312355,41 TYPE US ARMY CHINO PANTS_DIRTY KHAKI,남성,98000,88200,,10,,False,outstanding,7,100,0,GOODS,5312355,155,False
5312902,HIGH DENSITY COTTON CLASSIC 3BUTTON JACKET_BEIGE,남성,134000,120600,,10,,False,outstanding,3,100,0,GOODS,5312902,225,False
5353309,MIGHTY TIGER POCKET LONG SLEEVE_BLACK,남성,45000,40500,,10,,False,outstanding,14,98,0,GOODS,5353309,126,False
4423418,AUTHENTIC COMFORT HOOD ZIP SWEAT_NAVY,남성,94000,84600,,10,,False,outstanding,35,94,0,GOODS,4423418,880,False
5407909,RED CROSS MOCK NECK KNIT_BLACK,남성,79000,71100,,10,,False,outstanding,7,100,0,GOODS,5407909,185,False
4755266,MULTI STRIPE CREW NECK LONG SLEEVE TEE_IVORY/BLACK,공용,58000,52200,,10,,False,outstanding,69,96,0,GOODS,4755266,1000,False
5296593,AUTHENTIC COMFORT SWEAT_HEATHER GRAY,남성,74000,66600,,10,,False,outstanding,5,96,0,GOODS,5296593,298,False
3060023,OFFICER CHINO PANTS_OLIVE,공용,89000,80100,,10,,False,outstanding,188,96,0,GOODS,3060023,938,False
4721704,[아웃스탠딩×패션플래닛] MIGHTY TIGER LOGO HOOD SWEAT_3%MELANGE GRAY,공용,94000,84600,,10,,False,outstanding,61,98,0,GOODS,4721704,1322,False
5408015,USN DECK VEST_NAVY,남성,138000,124200,,10,,False,outstanding,1,100,0,GOODS,5408015,164,False
5353190,CANVAS CARPENTER DOUBLE KNEE PANTS_OLIVE,남성,108000,97200,,10,,False,outstanding,1,100,0,GOODS,5353190,176,False
5312334,BRITISH ARMY COMBAT PANTS_OLIVE,남성,104000,93600,,10,,False,outstanding,8,98,0,GOODS,5312334,218,False
3793141,V.S.C HOOD SWEAT(MARYS)_1%OATMEAL,공용,89000,80100,,10,,False,outstanding,152,98,0,GOODS,3793141,2021,False
4262935,TORAY LEVEL7 DOWN PARKA_SAGE GREEN,남성,324000,291600,,10,,False,outstanding,92,98,0,GOODS,4262935,2006,False
4721698,[아웃스탠딩×패션플래닛] MIGHTY TIGER LOGO SWEAT_NAVY,공용,84000,75600,,10,,False,outstanding,67,94,0,GOODS,4721698,551,False
5370439,WOOL FLEECE MOUNTAIN JACKET_BEIGE,남성,128000,115200,,10,,False,outstanding,2,100,0,GOODS,5370439,338,False
4423409,AUTHENTIC COMFORT HOOD SWEAT_3%MELANGE GRAY,남성,84000,75600,,10,,False,outstanding,101,96,0,GOODS,4423409,1396,False
5312829,WESTERN DENIM SHIRT_INDIGO,남성,108000,97200,,10,,False,outstanding,1,100,0,GOODS,5312829,228,False
5370205,V.S.C SWEAT(CHAMPIONS)_1%OATMEAL,남성,89000,80100,,10,,False,outstanding,2,100,0,GOODS,5370205,233,False
5407846,V.S.C HOOD SWEAT(HANOVER)_WINE,남성,98000,88200,,10,,False,outstanding,1,100,0,GOODS,5407846,183,False
5408006,VELVET SOUVENIR JACKET_NAVY,남성,198000,178200,,10,,False,outstanding,0,0,0,GOODS,5408006,176,False
4641453,OSTD STITCH CRAFTED BELT_BLACK,남성,58000,52200,,10,,False,outstanding,108,98,0,GOODS,4641453,784,False
1730659,REVERSE HEAVY SWEAT_1%MELANGE GRAY,공용,89000,89000,,0,,False,outstanding,486,96,0,GOODS,1730659,2000,False
3998525,[2PACK] VINTAGE WASHING T-SHIRT_VINTAGE OLIVE/VINTAGE CHARCOAL,남성,84000,75600,,10,,False,outstanding,880,98,0,GOODS,3998525,3532,False
4214240,OSTD PLAQUE BELT_SILVER,남성,74000,66600,,10,,False,outstanding,127,96,0,GOODS,4214240,871,False
5370210,V.S.C SWEAT(CHAMPIONS)_NAVY,남성,89000,80100,,10,,False,outstanding,2,100,0,GOODS,5370210,233,False
4423390,AUTHENTIC COMFORT SWEAT_1%OATMEAL,남성,74000,66600,,10,,False,outstanding,181,98,0,GOODS,4423390,1238,False
5441607,MIL SERIES SWEAT(AIR FORCE)_CHARCOAL,남성,79000,71100,,10,,False,outstanding,3,100,0,GOODS,5441607,206,False
3459551,MECHANIC WORK SHIRT_BLACK,공용,94000,84600,,10,,False,outstanding,629,98,0,GOODS,3459551,3645,False
5353184,CANVAS CARPENTER DOUBLE KNEE PANTS_BEIGE,남성,108000,97200,,10,,False,outstanding,2,100,0,GOODS,5353184,192,False
4693537,LAMBSWOOL FISHERMAN CARDIGAN_NAVY,남성,108000,97200,,10,,False,outstanding,35,96,0,GOODS,4693537,420,False
2900517,LOOSE FIT CARPENTER PANTS_BLACK DENIM,공용,98000,88200,,10,,False,outstanding,1269,98,0,GOODS,2900517,5887,False
5407906,OSTD BRASS SHOEHORN KEYRING_BRASS,남성,42000,37800,,10,,False,outstanding,5,100,0,GOODS,5407906,312,False
4262459,PURE WOOL WHOLEGARMENT KNIT_PINK,남성,118000,106200,,10,,False,outstanding,70,98,0,GOODS,4262459,1209,False
4825726,MIL SERIES LONG SLEEVE(USS BRILL)_WHITE,공용,58000,52200,,10,,False,outstanding,46,100,0,GOODS,4825726,375,False
4736234,BRITISH ARMY GURKHA PANTS_KHAKI,남성,94000,84600,,10,,False,outstanding,30,100,0,GOODS,4736234,352,False
5312614,MOT SERIES LONG SLEEVE(RIDE THE COAST)_CHARCOAL,남성,65000,58500,,10,,False,outstanding,9,100,0,GOODS,5312614,212,False
5441591,MIL SERIES SWEAT(GROSSE ILE)_NAVY,남성,79000,71100,,10,,False,outstanding,0,0,0,GOODS,5441591,179,False
5407951,FAIRISLE CREW NECK KNIT_GRAY,남성,98000,88200,,10,,False,outstanding,2,90,0,GOODS,5407951,258,False
4262315,MIL SERIES SWEAT(DEVIL CATS)_8%MELANGE GRAY,남성,79000,71100,,10,,False,outstanding,98,98,0,GOODS,4262315,925,False
5312779,VINTAGE CHECK BD SHIRT_BROWN CHECK,남성,108000,97200,,10,,False,outstanding,0,0,0,GOODS,5312779,243,False
3773738,LAMBSWOOL FISHERMAN CARDIGAN_L.BROWN,공용,108000,97200,,10,,False,outstanding,323,98,0,GOODS,3773738,2904,False
5353303,MIGHTY TIGER POCKET LONG SLEEVE_OFF WHITE,남성,45000,40500,,10,,False,outstanding,7,100,0,GOODS,5353303,112,False
4825730,MIL SERIES LONG SLEEVE(USS BRILL)_NAVY,남성,58000,52200,,10,,False,outstanding,27,94,0,GOODS,4825730,306,False
3459853,HIKING BELTED PANTS_GREEN,공용,98000,88200,,10,,False,outstanding,465,98,0,GOODS,3459853,1622,False
5312619,MOT SERIES LONG SLEEVE(RIDE THE COAST)_OFF WHITE,남성,65000,58500,,10,,False,outstanding,3,100,0,GOODS,5312619,232,False
5353332,MIGHTY TIGER SWEAT_NAVY,남성,79000,71100,,10,,False,outstanding,1,100,0,GOODS,5353332,147,False
4755192,USN PATCH CHAMBRAY SHIRT_L.BLUE,남성,98000,88200,,10,,False,outstanding,60,98,0,GOODS,4755192,416,False
5370303,THERMAL LONG SLEEVE TEE_NAVY,남성,74000,66600,,10,,False,outstanding,3,100,0,GOODS,5370303,120,False
5296446,AUTHENTIC COMFORT SWEAT PANTS_VINTAGE CHARCOAL,남성,89000,80100,,10,,False,outstanding,2,90,0,GOODS,5296446,92,False
4795221,OSTD PLAQUE BELT_GOLD,공용,74000,66600,,10,,False,outstanding,23,98,0,GOODS,4795221,611,False
4261346,AUTHENTIC COMFORT SWEAT PANTS_3%MELANGE GRAY,남성,79000,71100,,10,,False,outstanding,65,96,0,GOODS,4261346,626,False
5312736,MOT SERIES LONG SLEEVE(TWO-WHEELER)_OFF WHITE,남성,65000,58500,,10,,False,outstanding,9,96,0,GOODS,5312736,160,False
4262842,PRIMALOFT LEVEL 7 SHORT PARKA_COYOTE,남성,258000,232200,,10,,False,outstanding,66,98,0,GOODS,4262842,754,False
5407879,V.S.C HOOD SWEAT(BOSTON)_3%MELANGE GRAY,남성,98000,88200,,10,,False,outstanding,1,100,0,GOODS,5407879,110,False
3773723,LAMBSWOOL ROUND NECK CARDIGAN_GRAY MELANGE,공용,129000,116100,,10,,False,outstanding,1655,96,0,GOODS,3773723,3028,False
3773711,RAGLAN CREW NECK KNIT_BEIGE,공용,79000,71100,,10,,False,outstanding,284,98,0,GOODS,3773711,2929,False
5312805,HBT MECHANIC WORK SHIRT_OLIVE,남성,98000,88200,,10,,False,outstanding,1,100,0,GOODS,5312805,202,False
