goodsNo,goodsName,displayGenderText,normalPrice,price,saleRate,brand,reviewCount,reviewScore,isPick
4424996,어베인 카운티 크로스 토트백 [BLACK],남성,74000,66600,10,drawfit,215,98,0
2226767,[서강준PICK] 오버사이즈 하프 집업 카라 울 니트 [5COLOR],남성,76000,68400,10,drawfit,10079,98,1
4041025,실켓 코튼 U넥 티셔츠 [BLACK],남성,33000,29700,10,drawfit,384,98,0
3347011,카고 파라슈트 치노 팬츠 [OFF WHITE],남성,74000,66600,10,drawfit,199,96,0
655610,프리미어 퓨어 캐시미어 히든 싱글 코트 [BLACK],남성,278000,222400,20,drawfit,8816,98,0
5016476,슬림 레더 체인 레이어드 네클리스 [SILVER],남성,27000,24300,10,drawfit,51,90,0
5384974,헤이든 헨리넥 롱슬리브 티셔츠 [BLACK],남성,35000,29750,15,drawfit,5,100,0
3347008,카고 파라슈트 치노 팬츠 [BEIGE],남성,74000,66600,10,drawfit,162,96,0
4327323,타이디 미니멀 스트라이프 셔츠 [WHITE],남성,55000,49500,10,drawfit,96,98,0
4994881,아크 세미 벌룬 치노 팬츠 [BLACK],남성,66000,59400,10,drawfit,39,92,0
4058364,올마이티 보스턴 더플백 [BLACK],남성,74000,66600,10,drawfit,194,98,0
3037099,오버사이즈 울 라운드 가디건 [BLACK],남성,85000,76500,10,drawfit,523,98,0
3783548,디비젼 후드 윈드브레이커 [BLACK],남성,124000,99200,20,drawfit,98,98,0
3489529,유주얼 세미 와이드 데님 팬츠 [L.BLUE],남성,66000,59400,10,drawfit,446,96,0
885715,프리미어 퓨어 캐시미어 로브 더블 코트 [BLACK],남성,308000,246400,20,drawfit,3150,98,0
4740184,카우 슬림 레더 벨트 [BLACK],남성,42000,37800,10,drawfit,52,96,0
5146274,콘스탄트 리브드 헨리넥 티셔츠 [MELANGE GREY],남성,36000,32400,10,drawfit,87,98,0
1333422,오버사이즈 히든 미니멀 셔츠 [BLACK],남성,59000,53100,10,drawfit,872,96,0
4730918,리브드 헨리넥 티셔츠 [IVORY],남성,44000,39600,10,drawfit,9,100,0
5358776,와이드 밴딩 치노 팬츠 [BROWN],남성,66000,59400,10,drawfit,3,100,0
407067,하이 벤트 레이어드 티셔츠 [WHITE],남성,39000,29250,25,drawfit,24720,96,0
3489528,유주얼 세미 와이드 데님 팬츠 [WHITE],남성,66000,59400,10,drawfit,236,98,0
4995039,[패션플래닛X드로우핏] 쿨링 릴렉스드 테이퍼드 밴딩 팬츠 [BLACK],남성,59000,47200,20,drawfit,75,98,0
2570743,레이어드 체인 써지컬 팔찌 [SILVER],공용,25000,22500,10,drawfit,1747,96,0
3305119,키높이 하프 인솔 [2COLORS],공용,9900,8910,10,drawfit,785,98,0
1151850,오버사이즈 히든 미니멀 셔츠 [WHITE],남성,59000,53100,10,drawfit,2978,96,0
5358698,워시드 코튼 웨스턴 셔츠 [NAVY],남성,55000,49500,10,drawfit,3,100,0
5220312,헤일 코튼 크롭 하프 티셔츠 [M.GREY],남성,33000,29700,10,drawfit,25,98,0
3154688,원턱 밴딩 테이퍼드 슬랙스 [BLACK],남성,63000,49800,21,drawfit,1247,96,0
4327328,에반 옴브레 체크 셔츠 [NAVY],남성,55000,49500,10,drawfit,161,96,0
4732773,카빌 미드나잇 데님 셔츠 [BLACK],남성,66000,59400,10,drawfit,44,96,0
5358817,유주얼 세미 와이드 데님 팬츠 [BROWN],남성,66000,59400,10,drawfit,0,0,0
4702317,리파인드 라인 레더 자켓 [BLACK],남성,174000,139200,20,drawfit,67,98,0
3830004,콘트라스트 세미 와이드 워싱 데님 팬츠 [BLACK],남성,74000,66600,10,drawfit,280,98,0
4730993,해밀턴 미니멀 체크 셔츠 [BLUE],남성,55000,49500,10,drawfit,61,98,0
1760178,도브 울 블루종 자켓 [OATGREY],남성,174000,139200,20,drawfit,417,98,0
3175726,[오정규X드로우핏] 수피마 실켓 프리미엄 코튼 티셔츠 [9COLORS],남성,33000,26400,20,drawfit,557,98,0
5384941,스트라이프 헤어리 크롭 라운드 가디건 [IVORY],남성,74000,66600,10,drawfit,3,100,0
4740179,앰플 크로스 카메라백 [BLACK],남성,72000,64800,10,drawfit,52,98,0
2119985,와이드 밴딩 치노 팬츠 [BLACK],남성,66000,59400,10,drawfit,669,96,0
4301108,콘트라스트 세미 와이드 워싱 데님 팬츠 [RUSTY INDIGO],남성,74000,66600,10,drawfit,115,98,0
5385024,카우 스터드 스웨이드 레더 벨트 [BLACK],남성,42000,37800,10,drawfit,1,100,0
5364425,스트라이프 슬림 모던 타이 [2COLORS],남성,25000,20000,20,drawfit,5,100,0
538279,에센셜 베이직 티셔츠 [OFFWHITE],남성,33000,29700,10,drawfit,6747,96,0
4108580,[패션플래닛X드로우핏] 쿨링 릴렉스드 와이드 밴딩 팬츠 [D.GREY],남성,59000,47200,20,drawfit,364,98,0
2818896,프리미어 퓨어 캐시미어 발마칸 코트 [D.NAVY],남성,308000,246400,20,drawfit,1658,98,0
1928038,엑시드 스트랩 레더 샌들 [BLACK],남성,94000,84600,10,drawfit,2014,96,0
3489625,호보 레더 크로스백 [DARK BROWN],남성,82000,65600,20,drawfit,1092,96,0
1217305,유주얼 뉴 스트레이트 데님 팬츠 [BLUE],남성,66000,59400,10,drawfit,1791,94,0
2139133,[서강준PICK] 모크넥 니트 티셔츠 SET,남성,60000,43900,27,drawfit,26289,98,1
5384975,헤이든 헨리넥 롱슬리브 티셔츠 [CHARCOAL],남성,35000,29750,15,drawfit,11,98,0
4330047,워시드 더블니 카펜터 워크 팬츠 [BLACK],남성,72000,64800,10,drawfit,178,96,0
4739882,사이드 브리치 트랙 팬츠 [BLACK],남성,62000,55800,10,drawfit,42,98,0
3154648,투턱 밴딩 와이드 슬랙스 [GREY],남성,63000,49800,21,drawfit,1316,98,0
1120482,오버사이즈 모던 체크 블레이저,남성,159000,127200,20,drawfit,1211,96,0
4058365,커넥티드 브리프 크로스백 [BLACK],남성,86000,77400,10,drawfit,107,100,0
3154714,페이퍼 코튼 오버핏 셔츠 [D.BLUE],남성,66000,49500,25,drawfit,1327,96,0
1958904,와이드 밴딩 슬릭 플리츠 팬츠 [BLACK],남성,49000,44100,10,drawfit,2570,96,0
3331687,에센셜 베이직 티셔츠 [2PACK],공용,66000,49500,25,drawfit,794,98,0
3154711,코지드 스트라이프 셔츠 [BLACK],남성,66000,49500,25,drawfit,1345,98,0
3783695,인시전 레더 블루종 자켓 [RED BROWN],남성,174000,139200,20,drawfit,107,96,0
1305385,오버핏 울 니트 베스트 [BLACK],공용,59000,47200,20,drawfit,2406,98,0
4730932,스트라이프 티셔츠 [WHITE],남성,37000,33300,10,drawfit,49,100,0
4327191,실켓 코튼 U넥 롱슬리브 티셔츠 [WHITE],남성,35000,29750,15,drawfit,227,96,0
4739972,와이드 트위스트 데님 팬츠 [DEEP INDIGO],남성,66000,59400,10,drawfit,57,100,0
5220310,헤일 코튼 크롭 하프 티셔츠 [BLACK],남성,33000,29700,10,drawfit,20,94,0
3175768,[오정규X드로우핏] 수피마 실켓 프리미엄 코튼 티셔츠 [2PACK],남성,66000,49500,25,drawfit,1614,98,0
4702321,릴렉스드 오피스 CN 블레이저 [CHARCOAL],남성,159000,127200,20,drawfit,17,100,0
4301121,유주얼 세미 와이드 데님 팬츠 [DARK GREY],남성,66000,59400,10,drawfit,64,96,0
2120465,리에디션 스웨이드 자켓 [MOCHA BEIGE],남성,168000,134400,20,drawfit,286,98,0
2480138,밴딩 테이퍼드 슬랙스 [GREY],남성,60000,49800,17,drawfit,2833,98,0
5068733,[DRAW FIT X MANJAE] 러스티 머슬핏 티셔츠 [BLACK],남성,33000,29700,10,drawfit,85,94,0
5385026,카우 스터드 스웨이드 레더 벨트 [BROWN],남성,42000,37800,10,drawfit,1,100,0
3154716,페이퍼 코튼 오버핏 셔츠 [WHITE],남성,66000,49500,25,drawfit,1239,96,0
4305401,콘트라스트 워크 트러커 자켓 [BLACK],남성,174000,139200,20,drawfit,78,98,0
4995116,[DRAW FIT X DAILY ROOM] 로버스트 버뮤다 와이드 치노 팬츠 [BLACK],남성,47000,42300,10,drawfit,217,98,0
3037101,오버사이즈 울 라운드 가디건 [BRICK],남성,85000,76500,10,drawfit,1058,98,0
3052053,오버사이즈 벌룬 피케 스웨트 셔츠 [BLACK],남성,55000,49500,10,drawfit,407,98,0
5384939,스트라이프 헤어리 크롭 라운드 가디건 [BLACK],남성,74000,66600,10,drawfit,2,100,0
968414,모더니티 히든 밴딩 슬랙스 [BLACK],남성,69000,62100,10,drawfit,2680,96,0
4594145,울 집업 빅포켓 블루종 자켓 [BROWN],남성,194000,155200,20,drawfit,20,100,0
3830002,콘트라스트 세미 와이드 워싱 데님 팬츠 [DARK BLUE],남성,74000,66600,10,drawfit,138,98,0
2799746,[드로우핏X노이어] 핸드메이드 캐시미어 발마칸 코트,공용,318000,254400,20,drawfit,379,98,0
709192,오버사이즈 미니멀 체크 블레이저 [BEIGE],남성,159000,127200,20,drawfit,2250,96,0
538280,에센셜 베이직 티셔츠 [BLACK],남성,33000,29700,10,drawfit,4708,96,0
5358696,워시드 코튼 웨스턴 셔츠 [BLACK],남성,55000,49500,10,drawfit,2,100,0
3154649,투턱 밴딩 와이드 슬랙스 [DARK BROWN],남성,63000,49800,21,drawfit,1132,98,0
5358697,워시드 코튼 웨스턴 셔츠 [BROWN],남성,55000,49500,10,drawfit,4,100,0
2825493,프리미어 퓨어 울 발마칸 코트 [MELANGE TAUPE],남성,308000,246400,20,drawfit,848,98,0
1928032,야세 X 드로우핏 슬라이드 레더 [BLACK],남성,74000,51800,30,drawfit,536,94,0
4305659,스웨이드 패널 트러커 집업 자켓 [D.KHAKI],남성,174000,139200,20,drawfit,47,98,0
3154715,페이퍼 코튼 오버핏 셔츠 [SKY BLUE],남성,66000,49500,25,drawfit,1772,96,0
4907281,실켓 코튼 U넥 티셔츠 [MELANGE GREY],남성,33000,29700,10,drawfit,79,98,0
4732777,빈티지 워시드 데님 셔츠 [BLACK],남성,66000,59400,10,drawfit,27,100,0
4330030,커브드 인시전 라인 데님 팬츠 [SLATE BLUE],남성,72000,64800,10,drawfit,105,96,0
2367275,와이드 밴딩 치노 팬츠 [OFF WHITE],남성,66000,59400,10,drawfit,1642,96,0
2119982,와이드 밴딩 치노 팬츠 [KHAKI],남성,66000,59400,10,drawfit,799,96,0
5358730,워시드 코튼 샴브레이 워크 셔츠 [INDIGO],남성,55000,49500,10,drawfit,6,96,0
407066,하이 벤트 레이어드 티셔츠 [BLACK],남성,39000,29250,25,drawfit,13482,96,0
3052437,스웨이드 왈라비 모크 슈즈 [BEIGE],남성,155000,139500,10,drawfit,408,96,0
3175651,[오정규X드로우핏] 린넨 히든 반팔 셔츠 [5COLORS],남성,55000,39600,28,drawfit,3721,96,0
4041018,쿨링 모달 하프 카라 니트 [BROWN],남성,55000,49500,10,drawfit,320,96,0
3489626,호보 나일론 크로스백 [BLACK],남성,82000,65600,20,drawfit,1428,98,0
3783489,콘트라스트 워시드 데님 자켓 [BLACK],남성,124000,99200,20,drawfit,94,96,0
5220311,헤일 코튼 크롭 하프 티셔츠 [WHITE],남성,33000,29700,10,drawfit,19,96,0
3154689,원턱 밴딩 테이퍼드 슬랙스 [GREY],남성,63000,49800,21,drawfit,1031,98,0
1964770,슬랜트 메신저 크로스 백 [BLACK],공용,66000,59400,10,drawfit,3354,98,0
4305739,레이어 플리츠 워크 데님 자켓 [DARK BLUE],남성,136000,108800,20,drawfit,60,92,0
4041531,언로더 오픈카라 린넨 데님 셔츠 [BLACK],남성,66000,59400,10,drawfit,187,96,0
4058398,카이언 러프 스톤 팔찌 [BLUE GREEN],남성,27000,24300,10,drawfit,462,94,0
4990662,와플 헨리넥 하프 티셔츠 [IVORY],남성,34000,30600,10,drawfit,138,98,0
5146273,콘스탄트 리브드 헨리넥 티셔츠 [BLACK],남성,36000,32400,10,drawfit,69,94,0
3030665,코튼 트윌 스트링 자켓 [BLACK],남성,174000,139200,20,drawfit,577,96,0
5223183,헤일 코튼 크롭 하프 스트라이프 티셔츠 [CHARCOAL],남성,36000,32400,10,drawfit,26,100,0
3154690,원턱 밴딩 테이퍼드 슬랙스 [DARK BROWN],남성,63000,49800,21,drawfit,469,96,0
4327198,실켓 코튼 U넥 롱슬리브 티셔츠 [BLACK],남성,35000,29750,15,drawfit,126,92,0
3489525,유주얼 스트레이트 데님 팬츠 [BLUE],남성,66000,59400,10,drawfit,124,98,0
4330033,커브드 인시전 라인 데님 팬츠 [BLACK],남성,72000,64800,10,drawfit,84,98,0
3438287,울 카라 집업 블루종 자켓 [BLACK],남성,208000,166400,20,drawfit,773,98,0
4907317,써머 마빈 투포켓 체크 셔츠 [BLUE],남성,55000,49500,10,drawfit,137,98,0
2774996,와이드 뉴트럴 컬러 데님 [MOCHA],남성,74000,66600,10,drawfit,474,98,0
4327321,오버사이즈 코듀로이 알렉스 셔츠 [BROWN],남성,55000,49500,10,drawfit,73,98,0
3030682,울 스타디움 라인 집업 자켓 [BLACK],남성,199000,159200,20,drawfit,809,96,0
4424992,스퀘어 슬릭 레더 크로스백 [BLACK],남성,77000,69300,10,drawfit,68,98,0
2480137,밴딩 테이퍼드 슬랙스 [L.BEIGE],남성,60000,49800,17,drawfit,2453,98,0
4306128,오버사이즈 벌키 라운드 가디건 [BLACK],남성,77000,69300,10,drawfit,52,98,0
4730963,루크 투 포켓 셔츠 [CHARCOAL],남성,55000,49500,10,drawfit,60,98,0
2361832,테이퍼드 밴딩 치노 팬츠 [BEIGE],남성,66000,59400,10,drawfit,1254,96,0
4305953,울 블렌딩 헤어리 니트 가디건 [D.GREY],남성,72000,64800,10,drawfit,65,98,0
4995010,커브드 라인 워크 스웻 팬츠 [CHARCOAL],남성,62000,55800,10,drawfit,18,88,0
5384934,헤어리 크롭 브이넥 풀오버 니트 [BLACK],남성,66000,59400,10,drawfit,0,0,0
4108581,[패션플래닛X드로우핏] 쿨링 릴렉스드 와이드 밴딩 팬츠 [DUSTY BEIGE],남성,59000,47200,20,drawfit,300,96,0
5016408,레가토 벨티드 레더 토트백 [BLACK],남성,80000,72000,10,drawfit,10,94,0
4730953,아크만 코튼 다잉 워크 셔츠 [CHARCOAL],남성,62000,55800,10,drawfit,71,94,0
5384935,헤어리 크롭 브이넥 풀오버 니트 [MELANGE GREY],남성,66000,59400,10,drawfit,1,80,0
1812069,모더니티 세미 와이드 슬릿 슬랙스 [GREY],남성,69000,62100,10,drawfit,687,96,0
4907316,써머 마빈 투포켓 체크 셔츠 [BLACK],남성,55000,49500,10,drawfit,78,96,0
4730997,르말 스트라이프 셔츠 [IVORY],남성,55000,49500,10,drawfit,23,100,0
4730987,루크 투 포켓 오픈카라 셔츠 [BROWN],남성,55000,49500,10,drawfit,21,98,0
3052090,오버사이즈 인디고 워싱 데님 셔츠 [BLACK],남성,66000,59400,10,drawfit,401,96,0
4305772,컨사이즈 워시드 포켓 데님 자켓 [MAHOGANI BLUE],남성,136000,108800,20,drawfit,103,96,0
2322886,라인 스모크 레더 자켓 [SMOKE BLACK],남성,174000,139200,20,drawfit,254,98,0
4995115,[DRAW FIT X DAILY ROOM] 로버스트 버뮤다 와이드 치노 팬츠 [BEIGE],남성,47000,42300,10,drawfit,256,98,0
4363640,에센셜 스퀘어 니트 타이 [3COLORS],남성,28000,25200,10,drawfit,91,96,0
5358824,워싱 릴렉스 스트레이트 데님 팬츠 [DARK BLUE],남성,66000,59400,10,drawfit,0,0,0
2361829,테이퍼드 밴딩 치노 팬츠 [KHAKI],남성,66000,59400,10,drawfit,347,96,0
2120464,리에디션 스웨이드 자켓 [BLACK],남성,168000,134400,20,drawfit,294,98,0
3305118,키높이 하프 인솔 [3PACK],공용,16500,14850,10,drawfit,660,96,0
4594142,울 집업 빅포켓 블루종 자켓 [BLACK],남성,194000,155200,20,drawfit,16,96,0
1925442,쿨링 모달 하프 라운드 니트 [BLACK],남성,48000,43200,10,drawfit,673,96,0
5384973,리브드 헨리넥 티셔츠 [CHARCOAL],남성,44000,39600,10,drawfit,1,100,0
2322887,라인 스모크 레더 자켓 [SMOKE BROWN],남성,174000,139200,20,drawfit,495,96,0
4330052,와이드 퍼티그 치노 팬츠 [BLACK],남성,66000,59400,10,drawfit,106,96,0
4041014,쿨링 모달 하프 카라 니트 [BLACK],남성,55000,49500,10,drawfit,230,98,0
3052063,포멀릭 리브드 헨리넥 티셔츠 [BLACK],남성,44000,39600,10,drawfit,300,96,0
5220313,헤일 코튼 크롭 하프 피그먼트 티셔츠 [CHARCOAL],남성,33000,29700,10,drawfit,27,88,0
5016409,렌 스웨이드 크로스백 [BROWN],남성,72000,64800,10,drawfit,13,92,0
5385027,하이드 더블 포켓 백팩 [BLACK],남성,88000,79200,10,drawfit,0,0,0
2322837,[서강준PICK] 도브 울 미니멀 라인 자켓 [DARK BROWN],남성,174000,139200,20,drawfit,2154,98,1
2139144,[서강준PICK] 터틀넥 니트 티셔츠 SET,남성,60000,43900,27,drawfit,16221,98,1
4739871,CN 벨티드 카고 팬츠 [CHARCOAL],남성,66000,59400,10,drawfit,22,100,0
4330051,와이드 퍼티그 치노 팬츠 [BEIGE],남성,66000,59400,10,drawfit,112,98,0
