likeType,relationId,count,liked
GOODS,2737956,660,False
GOODS,2737955,469,False
GOODS,2721943,815,False
GOODS,2581639,2173,False
GOODS,2581578,634,False
GOODS,2581503,811,False
GOODS,2581501,623,False
GOODS,2510256,838,False
GOODS,2510249,751,False
GOODS,2510233,1465,False
GOODS,2510184,1952,False
GOODS,2510183,1302,False
GOODS,2322864,516,False
GOODS,2227123,5201,False
GOODS,2120301,712,False
GOODS,2120300,342,False
GOODS,1649205,3568,False
GOODS,1594472,1696,False
GOODS,1404479,369,False
GOODS,1333401,781,False
GOODS,1305433,2124,False
GOODS,1130425,564,False
GOODS,607925,3220,False
GOODS,538282,756,False
