likeType,relationId,count,liked
GOODS,4702371,1545,False
GOODS,3783548,2430,False
GOODS,5543454,366,False
GOODS,3037099,2795,False
GOODS,5358777,396,False
GOODS,1760178,4048,False
GOODS,5358817,252,False
GOODS,2119985,3639,False
GOODS,3347008,3007,False
GOODS,1305385,8171,False
GOODS,2120464,2383,False
GOODS,1151850,8093,False
GOODS,5384941,184,False
GOODS,2120465,2232,False
GOODS,4732776,1722,False
GOODS,4702317,1057,False
GOODS,4305659,693,False
GOODS,5358776,351,False
GOODS,4994881,1492,False
GOODS,4702320,864,False
GOODS,4327191,2096,False
GOODS,4301108,1508,False
GOODS,5384938,202,False
GOODS,5543151,254,False
GOODS,1145196,8613,False
GOODS,4330047,2812,False
GOODS,3830004,2823,False
GOODS,2799746,4659,False
GOODS,4041025,1754,False
GOODS,4730932,698,False
GOODS,3030682,9305,False
GOODS,5016476,3697,False
GOODS,5375943,439,False
GOODS,5358818,307,False
GOODS,1333422,2626,False
GOODS,2825493,5326,False
GOODS,3154688,2775,False
GOODS,3154648,6134,False
GOODS,4301121,675,False
GOODS,4424969,2389,False
GOODS,4995109,7826,False
GOODS,5506723,216,False
GOODS,4327314,802,False
GOODS,4301140,916,False
GOODS,3489529,3822,False
GOODS,5358731,345,False
GOODS,3154711,3075,False
GOODS,1456515,35157,False
GOODS,4740184,1407,False
GOODS,4907283,924,False
GOODS,3037101,4455,False
GOODS,5384935,202,False
GOODS,4327323,1417,False
GOODS,3830002,1754,False
GOODS,4739882,1149,False
GOODS,2825494,3353,False
GOODS,3489625,4527,False
GOODS,2570743,11144,False
GOODS,4990664,4473,False
GOODS,4732773,1416,False
GOODS,5364425,388,False
GOODS,2119982,3889,False
GOODS,3305119,1661,False
GOODS,4730993,1234,False
GOODS,5384975,259,False
GOODS,3052053,4044,False
GOODS,4327328,1556,False
GOODS,3154716,4540,False
GOODS,538279,9894,False
GOODS,4739972,1347,False
GOODS,4305401,1697,False
GOODS,5384934,189,False
GOODS,3154714,4446,False
GOODS,407066,12389,False
GOODS,5543150,166,False
GOODS,3783848,1463,False
GOODS,4058364,3089,False
GOODS,4327198,1112,False
GOODS,3489528,2409,False
GOODS,1305386,4791,False
GOODS,3052090,3354,False
GOODS,4479890,4528,False
GOODS,4424996,3251,False
GOODS,4732777,778,False
GOODS,709192,6636,False
GOODS,3347011,3188,False
GOODS,5543100,215,False
GOODS,3154689,1722,False
GOODS,5385026,155,False
GOODS,5384862,109,False
GOODS,1649144,5866,False
GOODS,1217305,8877,False
GOODS,3331687,3137,False
GOODS,5220312,731,False
GOODS,4330033,1306,False
GOODS,4108579,9456,False
GOODS,3175726,2207,False
GOODS,3175768,2964,False
GOODS,2480138,7852,False
GOODS,2799745,2684,False
GOODS,3438287,6094,False
GOODS,2361832,5744,False
GOODS,5543453,168,False
GOODS,5358698,314,False
GOODS,5358697,252,False
GOODS,3489626,5068,False
GOODS,4740179,1636,False
GOODS,5220311,294,False
GOODS,4058365,1282,False
GOODS,4305739,1318,False
GOODS,3154715,7841,False
GOODS,5385023,172,False
GOODS,4702402,692,False
GOODS,5358730,262,False
GOODS,4327316,461,False
GOODS,4305953,1031,False
GOODS,4041509,5013,False
GOODS,2825478,3306,False
GOODS,2085823,5131,False
GOODS,5358824,216,False
GOODS,2139144,27458,False
GOODS,5358696,293,False
GOODS,3783489,1397,False
GOODS,4538554,589,False
GOODS,5384978,166,False
GOODS,3154649,5347,False
GOODS,4330051,1920,False
GOODS,3489525,1172,False
GOODS,2774996,2461,False
GOODS,2480137,7213,False
GOODS,3614287,3008,False
GOODS,4330030,1135,False
GOODS,2367275,8009,False
GOODS,4730997,698,False
GOODS,5543452,218,False
GOODS,5146274,1885,False
GOODS,3052036,10586,False
GOODS,3614230,2311,False
GOODS,5384972,85,False
GOODS,5385027,150,False
GOODS,5384870,178,False
GOODS,4702321,597,False
GOODS,4730963,652,False
GOODS,4995108,6523,False
GOODS,5016408,523,False
GOODS,4330052,1169,False
