goodsNo,goodsName,displayGenderText,normalPrice,price,couponPrice,saleRate,couponSaleRate,hasOptionPrice,brand,reviewCount,reviewScore,isYoutubeCollab
3792762,MIL SERIES LONG SLEEVE(74TH FIGHTER SQ)_PIGMENT CHARCOAL,공용,74000,66600,,10,,False,outstanding,166,100,0
3060019,OFFICER CHINO PANTS_KHAKI,공용,89000,80100,,10,,False,outstanding,693,96,0
4262828,CORDUROY DRIZZLER JACKET_OLIVE,남성,139000,125100,,10,,False,outstanding,26,98,0
5283208,40S SELVEDGE STRAIGHT PANTS_L.BLUE,남성,138000,124200,,10,,False,outstanding,82,98,0
1547899,V.S.C HOOD SWEAT(MARYS)_3%MELANGE GRAY,공용,89000,80100,,10,,False,outstanding,4926,96,0
3792520,BACK SATIN FATIGUE PANTS (ORIGINAL FIT)_OLIVE GREEN,공용,104000,93600,,10,,False,outstanding,283,98,0
5353688,BRUSHED WOOL ROUND NECK CARDIGAN_OLIVE,남성,108000,97200,,10,,False,outstanding,1,100,0
5312851,CORDUROY 2ND JACKET_BLACK,남성,119000,107100,,10,,False,outstanding,4,100,0
5353691,2ND POPLIN JUNGLE FATIGUE JACKET_D.NAVY,남성,124000,111600,,10,,False,outstanding,4,100,0
5312506,MIL SERIES LONG SLEEVE(MID WAY)_OFF WHITE,남성,65000,58500,,10,,False,outstanding,10,100,0
5283194,W.W. II SELVEDGE DENIM 1ST JACKET_MEDIUM BLUE,남성,169000,152100,,10,,False,outstanding,20,98,0
5370455,P-56 BACK SATIN JACKET_OLIVE GREEN,남성,124000,111600,,10,,False,outstanding,7,100,0
3773703,RAGLAN CREW NECK KNIT_BLACK,공용,79000,71100,,10,,False,outstanding,572,98,0
1685348,TORAY KARAKORAM EUROPEAN GOOSE DOWN PARKA_BLACK,남성,498000,448200,,10,,False,outstanding,837,96,0
5312350,41 TYPE US ARMY CHINO PANTS_KHAKI,남성,89000,80100,,10,,False,outstanding,8,88,0
5469512,30S WOOL SPORTS JACKET_BLACK,남성,314000,282600,,10,,False,outstanding,0,0,0
5296613,AUTHENTIC COMFORT HOOD ZIP SWEAT_HEATHER GRAY,남성,94000,84600,,10,,False,outstanding,3,100,0
2349446,MIL SWEAT(US ARMY)_3%MELANGE GRAY,공용,79000,71100,,10,,False,outstanding,1632,98,0
4736223,M-65 RIPSTOP CARGO PANTS_WOODLAND CAMO,남성,104000,93600,,10,,False,outstanding,55,96,0
